Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
gum-gengisil-new-fluid-silicone-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/dental-duplicating-material.webp,2,Gum-Gengisil New Fluid Silicone | Dental Product,,,,,,,,
maschersil-85-shore-a-10kg-6-catalyst-gel-dental-product,Maschersil 85 Shore A 10Kg + 6 Catalyst Gel | Dental Product,"<p><h1 class=""name"">Condensation Silicone Used for Making Masks</h1></p>
<p>Condensation silicone used for making masks, for mounting retainers in the plates, for controlling the production of metallic structures and for producing temporary prostheses. Indicated also for isolating teeth/gypsum in muffle. Features: • Good paste malleability • Extremely high fluidity • Elastic, high ultimate strength • Excellent elastic memory return • Excellent heat resistance (147°C) • Accurate reproduction of details • It can be mixed with the gel or liquid catalyst. Colour: whitish Working time at 23°C: 1’ 30’’ Working time at 23°C: 4’ 85 Shore</p>",Techim,,Lab Putty,"Acrylics, Dental Stone",TRUE,Title,Default Title,,,,,SIL000062,5000,shopify,,deny,manual,100,330,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/SIL000062-Condensation-silicone-used-for-making-masks-Techim-Group.webp,1,Maschersil 85 Shore A 10Kg + 6 Catalyst Gel | Dental Product,FALSE,Maschersil 85 Shore A 10Kg + 6 Catalyst Gel | Dental Product,"<p><h1 class=""name"">Condensation Silicone Used for Making Masks</h1></p>",,g,,,active
revor-light-dental-product,Revor Light | Dental Product,"<p><h1 class=""name"">UV Sensitive Resin Splints</h1></p>
<p>UV sensitive resin splints. Indicated for the construction of occlusal splints, individual impression trays and bases of removable prostheses. Features: • Quick and simple to work with • Excellent dimensional stability • Rigid and resistant to tensile strength • Uniform thickness Chromaticity</p>",Techim,,Impression Trays & Accessories,Crown and Bridges,TRUE,Color,Transparent,,,,,,0,shopify,,deny,manual,,,TRUE,TRUE,,,,,FALSE,Revor Light | Dental Product,"<p><h1 class=""name"">UV Sensitive Resin Splints</h1></p>",,g,,,active
revor-light-dental-product,,,,,,,TRUE,Color,Blue,,,,,,0,shopify,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,g,,,active
revor-light-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/RES000503-Revor-Light-Transparent-50-pz.webp,1,Revor Light | Dental Product,,,,,,,,
vertys-high-security-fluid-dental-product,Vertys High Security Fluid | Dental Product,<p>Packaging: box with protection incl. 50 splints</p>,Vertysystem,,Lab Putty,Acrylics,TRUE,Title,Default Title,,,,,200-2020,0,shopify,,deny,manual,180,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/Cod.-200-2020-high-security-fluid-1.webp,1,Vertys High Security Fluid | Dental Product,FALSE,Vertys High Security Fluid | Dental Product,,,g,,,active
universal-mixing-liquid-for-ceramics-50250ml-dental-product,Universal Mixing Liquid For Ceramics 50/250Ml | Dental Product,,"ArtOral,Reox",,Ceramics,"Crown and Bridges, Dental Stone",TRUE,size,50ml,,,,,,0,shopify,,deny,manual,,,TRUE,TRUE,,,,,FALSE,Universal Mixing Liquid For Ceramics 50/250Ml | Dental Product,,,g,,,active
universal-mixing-liquid-for-ceramics-50250ml-dental-product,,,,,,,TRUE,size,250ml,,,,,,0,shopify,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,g,,,active
universal-mixing-liquid-for-ceramics-50250ml-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/Ceramics-Universal-mixing-liquid-Art-Oral.webp,1,Universal Mixing Liquid For Ceramics 50/250Ml | Dental Product,,,,,,,,
quartz-fiber-composite-micro-grid-dental-product,Quartz Fiber Composite Micro Grid | Dental Product,"<p>Bio Quartz Fiber Reinforcement</p>
<p><h3>Read the Article -------> <span style=""color: #ff0000;""><em><strong><a style=""color: #ff0000;"" href=""http://3deltadental.com/wp-content/uploads/2024/03/article-grid-Dentures-2.pdf"">article grid Dentures-2</a></strong></em></span></h3></p>
<p><hr /></p>
<p><h3></h3></p>
<p><strong>Micro Grid</strong>, is the new light curing grid in quartz fiber for reinforcement and repair mobile prosthesis produced in Micro Medica laboratories.</p>
<p>An important innovation that revolutionized the method of reinforcement of the prosthesis mobile, which always using metal grid of various kinds totally incompatible with the acrylic resin of the prosthesis.</p>
<p><strong>The metal</strong> grid is unsightly, patients accept unwillingly to bring prostheses that contain this type of reinforcements, in this way the reinforced of prosthesis is cumbersome and, in most cases, too unstable to be tolerated, the metal does not have any kind of adhesion with the acrylic resin and often instead of creating a real reinforcement results a point of fracture of the prosthesis.</p>
<p>All these disadvantages have always conditioned the use of this type of grid and over the years the consumption of this type of product is drastically decreased.</p>
<p><strong>Finally the alternative</strong>, after years of research and develop Micro Medica has created the Micro Grid a new technologically advanced product for reinforcement and repair of denture acrylic resin.</p>
<p><strong>Micro Grid</strong> is a new Quartz Fiber grid, created to replace the old metal grid, the unique features of this product make it a perfect tool to get reinforcements of great quality.</p>
<p><strong>Perfect aesthetic</strong>, with it's colour pink Micro Grid is practically invisible inside the prosthesis, the patient does not create any problem.</p>
<p><strong>Lightness</strong>, a reinforcement for upper prosthetic weighs less than 1g., In this way does not affect the final weight of the prosthesis and does not create instability.</p>
<p><strong>Thin</strong>, with a thickness less than one-millimetre fits neatly in extremely thin prosthetic.</p>
<p><strong>High Compatibility</strong> with all acrylic resins marketed, drowned in the resin becomes an integral part of the same.</p>
<p><strong>Resistant: </strong>The prosthesis reinforced with Micro Grid exponentially increases its resistance to shock and breakage.</p>
<p><strong>Easy to use</strong>, soft malleable adapts easily to the model, and is ready in seconds. Biocompatible, like all Micro Medica products Micro Grid networks also have CE certificate class IIA as implantable long-term.</p>
<p><strong>Biocompatible</strong>, like all Micro Medica products Micro Grid networks also have CE certificate class IIA as implantable long-term.</p>",Micromedica,,Reinforcement,"Acrylics, Dental Stone",TRUE,Title,Default Title,,,,,MG160IR,0,shopify,,deny,manual,130,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/micro-grid_eng-1.jpg,1,Quartz Fiber Composite Micro Grid | Dental Product,FALSE,Quartz Fiber Composite Micro Grid | Dental Product,<p>Bio Quartz Fiber Reinforcement</p>,,g,,,active
